timestamp,cpu,ram,disco
timestamp,cpu,ram,disco
2026-08-20 10:50:52,56.4,79.3,18.4
2026-08-20 10:51:02,8.0,79.0,18.4
timestamp,cpu,ram,disco
2026-08-20 10:50:52,56.4,79.3,18.4
2026-08-20 10:51:02,8.0,79.0,18.4
